id,chassis,variant
3627,urbanmechiic,um-iiclgd
3628,urbanmechiic,um-iic-2lgd
3629,firestarter,fs9-at
3630,javelin,jvn-10pt
3631,incubus,inc-1t
3632,mistlynx,mlx-gt
3633,bushwacker,bsw-p2t
3634,wolverine,wvr-7dt
3635,huntsman,hmn-bt
3636,hunchbackiic,hbk-iic-at
3637,warhammer,whm-7st
3638,thunderbolt,tdr-9st
3639,riflemaniic,rfl-iic-2t
3640,nightgyr,ntg-ht
3641,stalker,stk-4nt
3642,fafnir,fnr-5t
3643,madcatmkii,mcii-2t
3644,direwolf,dwf-bt
3645,fafnir,fnr-j
3646,madcatmkii,mcii-mwk
3647,longbow,lgb-10c
3648,longbow,lgb-12rs
3649,longbow,lgb-10k
3650,longbow,lgb-12c
3651,longbow,lgb-12r
3652,longbow,lgb-7v
3653,longbow,lgb-13nais
3654,longbow,lgb-oc
3655,vaporeagle,vgl-gwlgd
3656,marauder,mad-blgd
3657,shadowhawk,shd-s
3658,marauderiic,mad-iic-dn
3659,adder,adr-wl
3660,iceferret,ifr-jl
3661,urbanmech,um-rl
3662,jenner,jr7-al
3663,jagermech,jm6-del
3664,wolfhoundclan,wlf-cl
3665,centurion,cn9-onlgd
3666,stonerhino,sr-1p
3667,piranha,pir-dl
3668,cyclops,cp-ar
3669,supernova,snv-sr
3670,stonerhino,sr-aklgd
3671,commando,com-d03h
3672,longbow,lgb-ohlgd
3673,warhammer,whm-6rh
3674,quickdraw,qkd-d
3675,timberwolf,tbr-h
3676,victor,vtr-9b-lilgd
3677,executioner,exe-b-clgd
3678,clanannihilator,anh-gz
3679,annihilator,anh-sc
3680,executioner,exe-m
3681,blackknight,bl-x-knt-2lgd
3682,warhawk,whk-klgd
3683,viper,vpr-sc
3684,stalker,stk-wu
3685,blackhawkku,bhku-os
3686,blackhawkku,bhku-o
3687,blackhawkku,bhku-ox
3688,blackhawkku,bhku-oxs
3689,dragon,drg-1no
3690,catapult,cplt-k2o
3691,charger,cgr-3ko
3692,hatamotochi,htm-28tro
3693,battlemaster,blr-2co
3694,mauler,mal-1po
3695,thunderbolt,tdr-9ss
3696,atlas,as7-w
3697,urbanmechiic,um-iic
3698,urbanmechiic,um-iic-2
3699,vaporeagle,vgl-gw
3700,marauder,mad-b
3701,ebonjaguar,ebj-bs
3702,bullshark,bsk-1
3703,bullshark,bsk-2
3704,bullshark,bsk-2s
3705,bullshark,bsk-3
3706,clanbullshark,bsk-4
3707,bullshark,bsk-5
3708,bullshark,bsk-6
3709,clanbullshark,bsk-m
3710,centurion,cn9-on
3711,adder,adr-w
3712,iceferret,ifr-j
3713,urbanmech,um-r
3714,jenner,jr7-a
3715,jagermech,jm6-de
3716,wolfhoundclan,wlf-c
3717,piranha,pir-d
3718,commando,com-d03
3719,catapult,cplt-fblgd
3720,behemoth,bhn-6hlgd
3721,stonerhino,sr-ak
3722,longbow,lgb-oh
3723,victor,vtr-9b-li
3724,executioner,exe-b-c
3725,atlas,as7-mtsp
3726,zeus,zeu-mtsp
3727,cicada,cda-mtsp
3728,kingcrab,kgc-algd
3729,blackknight,bl-x-knt-2
3730,warhawk,whk-k
3731,phoenixhawk,pxh-s(lgd)
3732,champion,chp-ap(lgd)
3733,grandsummoner,smn-ii-ps
3734,grandsummoner,smn-ii-b
3735,grandsummoner,smn-ii-c
3736,grandsummoner,smn-ii-t
3737,cougar,cou-fl
3738,commandoiic,com-iicl
3739,firestarter,fs9-cl
3740,vindicator,vnd-5ll
3741,novacat,nct-pl
3742,longbow,lgb-12cp
3743,bullshark,bsk-6p
3744,bane,bane-1s
3745,bane,bane-1
3746,bane,bane-2
3747,bane,bane-3
3748,bane,bane-3p
3749,bane,bane-4
3750,bane,bane-6
3751,bane,bane-7
3752,bane,bane-l
3753,firemoth,fmt-primes
3754,firemoth,fmt-prime
3755,firemoth,fmt-b
3756,firemoth,fmt-c
3757,firemoth,fmt-d
3758,firemoth,fmt-h
3759,firemoth,fmt-k
3760,firemoth,fmt-al
3761,cataphract,ctf-5moclgd
3762,wolverine,wvr-slgd
3763,viper,vpr-primei
3764,catapult,cplt-fb
3765,behemoth,bhn-6h
3766,atlas,as7-m
3767,zeus,zeu-m
3768,cicada,cda-m
3769,kingcrab,kgc-a
3770,clanstalker,stk-3f-cs
3771,clanarcher,arc-2w-cs
3772,clanflea,fle-16-cs
3773,clannightstar,nsr-9j-cs
3774,summoner,smn-bcs
3775,charger,cgr-1a1cs
3776,maddog,mdd-silgd
3777,phoenixhawk,pxh-s
3778,champion,chp-ap
3779,cougar,cou-f
3780,commandoiic,com-iic
3781,firestarter,fs9-c
3782,vindicator,vnd-5l
3783,novacat,nct-p
3784,grandsummoner,smn-ii-p
3785,shadowcat,shc-nolgd
3786,direwolf,dwf-bs
3787,timberwolf,tbr-as
3788,stonerhino,sr-4s
3789,arcticwolf,acw-1s
3790,iceferret,ifr-js
3791,incubus,inc-2s
3792,gauntlet,GTL-1O
3793,gauntlet,GTL-1OS
3794,gauntlet,GTL-1OA
3795,gauntlet,GTL-1OB
3796,gauntlet,GTL-1OC
3797,gargoyle,gar-mtsp
3798,summoner,smn-ptsp
3799,blacklanner,bkl-mtsp
3800,urbanmechiic,um-iic-mtsp
3801,clanstalker,stk-3f-c
3802,clanarcher,arc-2w-c
3803,clanflea,fle-16-c
3804,clannightstar,nsr-9j-c
3805,shadowhawkiic,shd-iic
3806,shadowhawkiic,shd-iics
3807,shadowhawkiic,shd-iic-2
3808,shadowhawkiic,shd-iic-4
3809,shadowhawkiic,shd-iic-5
3810,shadowhawkiic,shd-iic-6
3811,shadowhawkiic,shd-iic-a
3812,shadowhawkiic,shd-iic-b
3813,shadowhawkiic,shd-iic-dt
3814,clanbullshark,bsk-vklgd
3815,bullshark,bsk-wglgd
3816,cataphract,ctf-5moc
3817,wolverine,wvr-s
3818,maddog,mdd-si
3819,shadowhawk,shd-5dss
3820,timberwolf,tbr-bh2s
3821,direwolf,dwf-wms
3822,hellbringer,hbr-ahs
3823,shadowcat,shc-no
3824,raven,rvn-mnl
3825,huntsman,hmn-hl
3826,timberwolf,tbr-nl
3827,heavystalker,stk-4pl
3828,battlemaster,blr-6cl
3829,shadowhawkiic,shd-iic-2p
3830,firemoth,fmt-hp
3831,naga,nga-prime
3832,naga,nga-primes
3833,naga,nga-b
3834,naga,nga-ii-prime
3835,naga,nga-ii-a
3836,naga,nga-ii-b
3837,naga,nga-ii-c
3838,naga,nga-ii-h
3839,naga,nga-am
3840,incubus,inc-z0lgd
3841,bullshark,bsk-6cs
3842,marauder,mad-3rcs
3843,gargoyle,gar-m
3844,summoner,smn-p
3845,blacklanner,bkl-m
3846,urbanmechiic,um-iic-m
3847,clanatlas,as7-d-hs
3848,clanbattlemaster,blr-1gbcs
3849,clanawesome,aws-8qss
3850,ebonjaguar,ebj-ss
3851,clanbullshark,bsk-vk
3852,bullshark,bsk-wg
3853,shadowhawk,shd-5ds
3854,timberwolf,tbr-bh2
3855,direwolf,dwf-wm
3856,hellbringer,hbr-ah
3857,stonerhino,sr-xs
3858,marauderii,mad-xs
3859,longbow,lgb-8vs
3860,maddog,mdd-vs
3861,catapult,cplt-c3s
3862,urbanmech,um-aivs
3863,sunder,sd1-o
3864,sunder,sd1-oa
3865,sunder,sd1-ob
3866,sunder,sd1-oc
3867,sunder,sd1-od
3868,sunder,sd1-ods
3869,sunder,sd1-oe
3870,sunder,sd1-ox
3871,sunder,sd1-o-sam
3872,raven,rvn-mn
3873,huntsman,hmn-h
3874,timberwolf,tbr-n
3875,heavystalker,stk-4p
3876,battlemaster,blr-6c
3877,hunchback,hbk-az
3878,locust,lct-mtsp
3879,crab,crb-mtsp
3880,marauder,mad-mtsp
3881,timberwolf,tbr-mtsp
3882,kodiak,kdk-mtsp
3883,clanatlas,as7-d-h
3884,clanbattlemaster,blr-1gbc
3885,clanawesome,aws-8qs
3886,ebonjaguar,ebj-s
3887,centurion,cn9-ylw2lgd
3888,stonerhino,sr-x
3889,marauderii,mad-x
3890,longbow,lgb-8v
3891,maddog,mdd-v
3892,catapult,cplt-c3
3893,urbanmech,um-aiv
3894,incubus,inc-z0
3895,sneede,rfl-3n-shlgd
3896,clansneede,rfl-3n-lzlgd
